id,study_id,contrast_id,x,y,z,space
10400972-1,10400972,1,2.6736707411484346,-4.345317729336157,62.06281820521049,mni152_2mm
10400972-1,10400972,1,-31.44351119117809,-59.762895369473384,50.37419192266481,mni152_2mm
10400972-1,10400972,1,-30.419827474192633,-56.92692320998463,45.66379931791572,mni152_2mm
10400972-1,10400972,1,42.26150431182805,-56.320227651181206,47.00846172070591,mni152_2mm
10400972-1,10400972,1,41.1688075913912,-52.18266508177521,45.558824239944414,mni152_2mm
10400972-1,10400972,1,39.02300621945552,-54.48160964546882,43.545868273981114,mni152_2mm
10400972-1,10400972,1,-26.128907324823967,-56.72998758874333,47.82839613261869,mni152_2mm
10400972-1,10400972,1,-27.15552635694916,-51.907122518762634,55.242129513647285,mni152_2mm
10400972-1,10400972,1,3.664656911229413,0.3484799329381947,53.851397728178185,mni152_2mm
10400972-1,10400972,1,4.778173557889335,-2.4746872285017307,58.53616738255499,mni152_2mm
10400972-1,10400972,1,0.47141658094546446,1.5580050312592053,56.01704296962815,mni152_2mm
10554993-1,10554993,1,-1.9,9.8,44.0,mni152_2mm
10554993-1,10554993,1,12.0,-2.0,48.0,mni152_2mm
10554993-1,10554993,1,-2.0,8.0,52.0,mni152_2mm
10554993-1,10554993,1,8.0,-12.0,60.0,mni152_2mm
10554993-1,10554993,1,-2.0,-18.0,56.0,mni152_2mm
10554993-1,10554993,1,8.0,-22.0,64.0,mni152_2mm
10554993-1,10554993,1,-4.0,-8.0,52.0,mni152_2mm
10554993-1,10554993,1,0.0,-2.0,56.0,mni152_2mm
10554993-1,10554993,1,-6.0,-16.0,56.0,mni152_2mm
10554993-1,10554993,1,8.0,4.0,52.0,mni152_2mm
10554993-1,10554993,1,18.0,2.0,48.0,mni152_2mm
11050027-1,11050027,1,-18.0,4.0,14.0,mni152_2mm
11050027-1,11050027,1,10.0,14.0,2.0,mni152_2mm
11050027-1,11050027,1,12.0,2.0,8.0,mni152_2mm
11050027-1,11050027,1,-40.0,36.0,24.0,mni152_2mm
11050027-1,11050027,1,-40.0,36.0,24.0,mni152_2mm
11050027-1,11050027,1,-40.0,36.0,24.0,mni152_2mm
11050027-1,11050027,1,22.0,24.0,-8.0,mni152_2mm
11050027-1,11050027,1,-20.0,8.0,0.0,mni152_2mm
11050027-1,11050027,1,-38.0,42.0,30.0,mni152_2mm
11050027-1,11050027,1,24.0,22.0,4.0,mni152_2mm
11050027-1,11050027,1,24.0,14.0,-4.0,mni152_2mm
11050027-1,11050027,1,-38.0,42.0,30.0,mni152_2mm
11050027-1,11050027,1,-38.0,38.0,24.0,mni152_2mm
11050027-1,11050027,1,-22.0,8.0,0.0,mni152_2mm
11050027-1,11050027,1,4.0,14.0,52.0,mni152_2mm
11050027-1,11050027,1,4.0,14.0,52.0,mni152_2mm
11050027-1,11050027,1,10.0,4.0,8.0,mni152_2mm
11050027-1,11050027,1,-24.0,14.0,-4.0,mni152_2mm
11050027-1,11050027,1,24.0,22.0,4.0,mni152_2mm
11050027-1,11050027,1,4.0,14.0,52.0,mni152_2mm
11050027-1,11050027,1,22.0,22.0,-6.0,mni152_2mm
11050027-1,11050027,1,-38.0,42.0,30.0,mni152_2mm
11050027-1,11050027,1,66.0,-34.0,32.0,mni152_2mm
11050027-1,11050027,1,66.0,-34.0,32.0,mni152_2mm
11050027-1,11050027,1,-40.0,40.0,26.0,mni152_2mm
11050027-1,11050027,1,-38.0,38.0,24.0,mni152_2mm
11050027-1,11050027,1,60.0,-36.0,36.0,mni152_2mm
11050027-1,11050027,1,60.0,-36.0,36.0,mni152_2mm
11050027-1,11050027,1,60.0,-36.0,36.0,mni152_2mm
11050027-1,11050027,1,66.0,-34.0,32.0,mni152_2mm
11050027-1,11050027,1,-38.0,38.0,24.0,mni152_2mm
11050027-1,11050027,1,58.0,-40.0,36.0,mni152_2mm
11050027-1,11050027,1,58.0,-40.0,36.0,mni152_2mm
11050027-1,11050027,1,58.0,-40.0,36.0,mni152_2mm
11050027-1,11050027,1,66.0,-34.0,32.0,mni152_2mm
11050027-1,11050027,1,66.0,-34.0,32.0,mni152_2mm
11050027-1,11050027,1,66.0,-34.0,32.0,mni152_2mm
11050027-1,11050027,1,66.0,-34.0,32.0,mni152_2mm
11050027-1,11050027,1,66.0,-34.0,32.0,mni152_2mm
11050027-1,11050027,1,60.0,-36.0,36.0,mni152_2mm
11050027-1,11050027,1,58.0,-40.0,36.0,mni152_2mm
11050027-1,11050027,1,36.0,26.0,-12.0,mni152_2mm
11050027-1,11050027,1,-40.0,40.0,26.0,mni152_2mm
11050027-1,11050027,1,-40.0,40.0,26.0,mni152_2mm
11050027-1,11050027,1,-40.0,40.0,26.0,mni152_2mm
11050027-1,11050027,1,36.0,26.0,-12.0,mni152_2mm
11285015-1,11285015,1,-32.0,-56.0,60.0,mni152_2mm
11285015-1,11285015,1,-32.0,-8.0,52.0,mni152_2mm
11285015-1,11285015,1,20.0,-72.0,52.0,mni152_2mm
11285015-1,11285015,1,-28.0,-8.0,52.0,mni152_2mm
11285015-1,11285015,1,32.0,-8.0,56.0,mni152_2mm
11285015-1,11285015,1,-44.0,-8.0,44.0,mni152_2mm
11285015-1,11285015,1,-4.0,4.0,48.0,mni152_2mm
11285015-1,11285015,1,20.0,-60.0,68.0,mni152_2mm
11285015-1,11285015,1,-44.0,-8.0,48.0,mni152_2mm
11285015-1,11285015,1,4.0,8.0,44.0,mni152_2mm
11285015-1,11285015,1,-28.0,-56.0,60.0,mni152_2mm
11285015-1,11285015,1,-28.0,-8.0,52.0,mni152_2mm
11285015-1,11285015,1,44.0,-48.0,36.0,mni152_2mm
11285015-1,11285015,1,-44.0,-12.0,44.0,mni152_2mm
11285015-1,11285015,1,-8.0,4.0,48.0,mni152_2mm
11285015-1,11285015,1,20.0,-60.0,68.0,mni152_2mm
11285015-1,11285015,1,4.0,12.0,32.0,mni152_2mm
11285015-1,11285015,1,-8.0,-8.0,48.0,mni152_2mm
11285015-1,11285015,1,12.0,-80.0,48.0,mni152_2mm
11285015-1,11285015,1,-24.0,-68.0,60.0,mni152_2mm
11285015-1,11285015,1,-8.0,-4.0,60.0,mni152_2mm
11285015-1,11285015,1,-4.0,4.0,48.0,mni152_2mm
11285015-1,11285015,1,-4.0,12.0,32.0,mni152_2mm
11285015-1,11285015,1,-44.0,-4.0,44.0,mni152_2mm
11285015-1,11285015,1,48.0,-4.0,44.0,mni152_2mm
11285015-1,11285015,1,-20.0,-72.0,56.0,mni152_2mm
11285015-1,11285015,1,-12.0,-64.0,64.0,mni152_2mm
11285015-1,11285015,1,-20.0,-72.0,56.0,mni152_2mm
11285015-1,11285015,1,44.0,-8.0,48.0,mni152_2mm
11285015-1,11285015,1,-48.0,4.0,28.0,mni152_2mm
11285015-1,11285015,1,-8.0,4.0,48.0,mni152_2mm
11285015-1,11285015,1,8.0,0.0,52.0,mni152_2mm
11285015-1,11285015,1,44.0,-48.0,48.0,mni152_2mm
11285015-1,11285015,1,-32.0,-56.0,56.0,mni152_2mm
11285015-1,11285015,1,38.0,-56.0,52.0,mni152_2mm
11285015-1,11285015,1,-40.0,-44.0,40.0,mni152_2mm
11285015-1,11285015,1,52.0,0.0,36.0,mni152_2mm
11285015-1,11285015,1,36.0,-76.0,44.0,mni152_2mm
11285015-1,11285015,1,-48.0,-4.0,40.0,mni152_2mm
11285015-1,11285015,1,28.0,-4.0,56.0,mni152_2mm
11285015-1,11285015,1,-16.0,-76.0,44.0,mni152_2mm
11285015-1,11285015,1,-16.0,-60.0,68.0,mni152_2mm
11285015-1,11285015,1,16.0,-68.0,56.0,mni152_2mm
11285015-1,11285015,1,48.0,4.0,28.0,mni152_2mm
11285015-1,11285015,1,-32.0,-56.0,56.0,mni152_2mm
11285015-1,11285015,1,32.0,-4.0,56.0,mni152_2mm
11285015-1,11285015,1,-48.0,4.0,28.0,mni152_2mm
11285015-1,11285015,1,-32.0,-8.0,56.0,mni152_2mm
11322979-1,11322979,1,2.0,-42.0,24.0,mni152_2mm
11322979-1,11322979,1,-37.0,-61.0,-22.0,mni152_2mm
11322979-1,11322979,1,-11.0,-66.0,48.0,mni152_2mm
11322979-1,11322979,1,2.0,-42.0,24.0,mni152_2mm
11322979-1,11322979,1,-6.0,-50.0,8.0,mni152_2mm
11322979-1,11322979,1,22.0,-66.0,-16.0,mni152_2mm
11322979-1,11322979,1,45.0,19.0,-4.0,mni152_2mm
